#Aths.:
#Rákabil sett á dx=20.0mm Ddx=0.2mm
# Tímasetn.  Óvissa   Mism.timi   Óvissa     Hraði     Óvissa 
#   t(s)      Dt(s)    dt(s)      Ddt(s)     v(m/s)    Dv(m/s)
0.036353   0.000022   0.072706   0.000044   0.275080   0.003081
1.802270   0.000110   0.031684   0.000042   0.631233   0.006327
2.896205   0.000165   0.023632   0.000041   0.846310   0.008475
3.765738   0.000208   0.019694   0.000041   1.015538   0.010166
4.509540   0.000245   0.017238   0.000041   1.160227   0.011613
5.171386   0.000279   0.015548   0.000041   1.286339   0.012874
5.774024   0.000309   0.014287   0.000041   1.399874   0.014009
6.331255   0.000337   0.013302   0.000041   1.503533   0.015045
6.852595   0.000363   0.012517   0.000041   1.597827   0.015988
7.345039   0.000387   0.011866   0.000041   1.685488   0.016864
7.838862   0.000412   0.012691   0.000041   1.575920   0.015767
8.373041   0.000439   0.013785   0.000041   1.450852   0.014516
8.958140   0.000468   0.015222   0.000041   1.313888   0.013145
9.612830   0.000501   0.017269   0.000041   1.158145   0.011586
10.371527   0.000539   0.020490   0.000041   0.976086   0.009765
11.307818   0.000585   0.026530   0.000041   0.753864   0.007541
