#Aths.:
#Rákabil sett á dx=20.0mm Ddx=0.2mm
# Tímasetn.  Óvissa   Mism.timi   Óvissa     Hraði     Óvissa 
#   t(s)      Dt(s)    dt(s)      Ddt(s)     v(m/s)    Dv(m/s)
0.033586   0.000022   0.067173   0.000043   0.297739   0.003362
1.665996   0.000103   0.030643   0.000042   0.652678   0.006543
2.689717   0.000154   0.022985   0.000041   0.870133   0.008715
3.505957   0.000195   0.019194   0.000041   1.041992   0.010432
4.205626   0.000230   0.016801   0.000041   1.190405   0.011916
4.826987   0.000261   0.015116   0.000041   1.323101   0.013242
5.391946   0.000290   0.013878   0.000041   1.441130   0.014422
5.914436   0.000316   0.012907   0.000041   1.549547   0.015506
6.403220   0.000340   0.012132   0.000041   1.648533   0.016496
6.864088   0.000363   0.011537   0.000041   1.733553   0.017346
7.331753   0.000387   0.012422   0.000041   1.610047   0.016109
7.837617   0.000412   0.013525   0.000041   1.478743   0.014795
8.393002   0.000440   0.015000   0.000041   1.333333   0.013340
9.017050   0.000471   0.017090   0.000041   1.170275   0.011708
9.742636   0.000507   0.020381   0.000041   0.981306   0.009817
10.646199   0.000552   0.026839   0.000041   0.745184   0.007455
